     velsurf   thk_positive       thk_regu           glen
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         6.5289
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         1.1409
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.6235
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.3546
9999999.0000         0.0000   9999999.0000         0.1953
9945847.0000         0.0000   9999999.0000         0.1953
9906109.0000         0.0000   9999999.0000         0.1953
9869726.0000         0.0000   9999999.0000         0.1953
9837363.0000         0.0000   9999999.0000         0.1953
9807917.0000         0.0000   9999999.0000         0.1953
9781280.0000         0.0000   9999999.0000         0.1953
9757507.0000         0.0000   9999999.0000         0.1953
9735454.0000         0.0000   9999999.0000         0.1953
9716522.0000         0.0000   9999999.0000         0.1953
9699042.0000         0.0000   9999999.0000         0.1113
9577162.0000         0.0000   9999999.0000         0.1113
9568233.0000         0.0000   9999999.0000         0.1113
9558732.0000         0.0000   9999999.0000         0.1113
9549740.0000         0.0000   9999999.0000         0.1113
9540216.0000         0.0000   9999999.0000         0.1113
9532187.0000         0.0000   9999999.0000         0.1113
9524368.0000         0.0000   9999999.0000         0.1113
9517279.0000         0.0000   9999999.0000         0.1113
9509818.0000         0.0000   9999999.0000         0.1113
9502532.0000         0.0000   9999999.0000         0.0548
9426830.0000         0.0000   9999999.0000         0.0548
9418978.0000         0.0000   9999999.0000         0.0548
9411963.0000         0.0000   9999999.0000         0.0548
9405134.0000         0.0000   9999999.0000         0.0548
9398509.0000         0.0000   9999999.0000         0.0548
9392188.0000         0.0000   9999999.0000         0.0548
9385113.0000         0.0000   9999999.0000         0.0548
9379013.0000         0.0000   9999999.0000         0.0548
9372473.0000         0.0000   9999999.0000         0.0548
9365989.0000         0.0000   9999999.0000         0.0143
