        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-26.4262981415 70.0763320923 -8.2836837769 83.5734863281 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-26.7894592285 69.7546844482 -10.4170007706 81.3708267212 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-27.0716991425 69.3662261963 -12.5363807678 79.9363250732 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-27.3104934692 69.1069717407 -14.3709402084 78.8144302368 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-27.5178184509 68.7903518677 -16.0333175659 77.8897171021 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-27.7794933319 68.4552001953 -17.5775012970 77.0969848633 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-28.0406875610 68.2162399292 -19.0349197388 76.4045410156 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-28.2210025787 67.9372253418 -20.4255008698 75.8224792480 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-28.3689880371 67.6839370728 -21.7738399506 75.3321685791 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-28.6180706024 67.4201126099 -23.0835494995 74.8993606567 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-28.8584327698 67.1652069092 -34.8235855103 75.3727874756 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-29.0545978546 66.8569107056 -35.6154594421 75.4272994995 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-29.3525123596 66.5713424683 -36.4211807251 75.5085067749 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-29.5782699585 66.1628036499 -37.2204627991 75.5983428955 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-29.8634147644 65.8707351685 -38.0227622986 75.7266769409 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-30.0912895203 65.5212707520 -38.8182868958 75.8576889038 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-30.3946456909 65.1893310547 -39.6040306091 76.0102920532 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-30.6108150482 64.8423538208 -40.3694648743 76.2124252319 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-30.8062248230 64.5504608154 -41.1156044006 76.4175033569 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-31.0184764862 64.2060546875 -41.8471221924 76.6609573364 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-31.2557411194 63.8805580139 -50.1075401306 80.4432678223 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-31.4488830566 63.5347099304 -50.5083351135 80.7205200195 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-31.7533512115 63.2687225342 -50.9157752991 81.0239639282 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-32.0924415588 62.8993225098 -51.3171043396 81.3453063965 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-32.4351806641 62.5584754944 -51.7345046997 81.6881561279 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-32.7814941406 62.1364059448 -52.1612205505 82.0748748779 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-33.0990409851 61.8131408691 -52.5915374756 82.4763412476 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-33.3870925903 61.4467887878 -53.0345306396 82.8997879028 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-33.6200218201 61.1799850464 -53.4727478027 83.3619613647 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-33.9226379395 60.7198410034 -53.9281578064 83.8415527344 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-34.1945991516 60.4180641174 -60.0396118164 87.7538986206 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-34.4351081848 60.0326004028 -60.3186378479 88.1828308105 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-34.6955146790 59.7371063232 -60.6066551208 88.6278839111 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-34.9586639404 59.3797302246 -60.8886299133 89.1072692871 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-35.2245407104 59.0060958862 -61.1755104065 89.6101913452 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-35.5289649963 58.6341323853 -61.4689178467 90.1012039185 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-35.7460289001 58.3402023315 -61.7498283386 90.6039047241 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-36.0383567810 58.0614776611 -61.9921989441 91.0886688232 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-36.3520164490 57.8314743042 -62.2355461121 91.5751342773 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-36.6501007080 57.5364799500 -62.4782333374 92.0435028076 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-36.8569984436 57.2999839783 -66.9576568604 94.6704483032 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-37.2367324829 56.9654808044 -67.0766067505 94.9362487793 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-37.5816612244 56.6347160339 -67.1844558716 95.1638412476 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-37.9490928650 56.2689781189 -67.2848358154 95.3835220337 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-38.2027511597 56.0045700073 -67.3839340210 95.5743637085 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-38.5570755005 55.6568908691 -67.4665832520 95.7457656860 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-38.9144859314 55.4561347961 -67.5565338135 95.9043884277 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-39.2949829102 55.1748809814 -67.6570281982 96.0573043823 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-39.5171165466 55.0003204346 -67.7353591919 96.1856765747 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-39.8632431030 54.8119964600 -67.8133697510 96.3051910400 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-40.2327156067 54.6412544250 -71.2711944580 97.5407485962 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-40.6672058105 54.3943367004 -71.3010177612 97.5910110474 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-41.0008354187 54.1280784607 -71.3348464966 97.6281585693 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-41.5261459351 53.8685073853 -71.3532333374 97.6733856201 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-41.8648872375 53.5905494690 -71.3834381104 97.7135162354 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-42.1634826660 53.3288803101 -71.3988723755 97.7512741089 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-42.5287170410 53.0342330933 -71.4315185547 97.7854919434 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-42.8749237061 52.7541389465 -71.4570388794 97.8240890503 0.0000000000 0.0000000000 0.0000000000 0.0000000000
